Entry_ID  Pocket_Score drug_score volume nb_asph inter_chain apol_asph_proportion mean_asph_radius as_density mean_asph_solv_acc mean_loc_hyd_dens flex hydrophobicity_score volume_score charge_score polarity_score a0_apol a0_pol af_apol af_pol n_abpa ala cys asp glu phe gly his ile lys leu met asn pro gln arg ser thr val trp tyr
2638  0.4737 0.5451 1082.7888 218 0 0.2018 3.8182 9.1554 0.4459 17.6364 0.2127 15.1667 4.3333 4 28 125.5933 141.4233 21.0248 29.8162 35 3 4 4 2 0 0 4 4 2 0 2 4 0 2 0 1 2 1 4 3 0
2639  0.4532 0.4592 1139.1531 216 0 0.2037 3.8446 9.2080 0.4379 17.7727 0.1717 15.1667 4.3333 4 28 121.9704 153.3200 22.9361 35.1176 33 3 4 4 2 0 0 4 4 2 0 2 4 0 2 0 1 2 1 4 3 0
2640  0.4262 0.6779 1123.3214 218 0 0.2202 3.8222 9.2037 0.4431 21.2083 0.1763 15.1667 4.3333 4 28 123.1780 158.6995 24.8475 33.3223 35 3 4 4 2 0 0 4 4 2 0 2 4 0 2 0 1 2 1 4 3 0
2641  0.4419 0.7045 1153.2397 221 0 0.1991 3.8516 9.2575 0.4438 22.4091 0.1915 17.1163 4.3488 4 28 136.4620 145.7313 28.6702 33.3223 34 3 4 4 2 0 0 4 4 2 1 2 4 0 2 0 1 2 1 4 3 0
2642  -0.2462 0.8534 1747.9535 267 0 0.6404 3.9115 9.1804 0.4274 73.7544 0.5592 52.0222 4.6222 1 15 335.9381 167.0498 122.9218 80.1341 23 1 2 0 0 1 1 4 2 2 5 10 1 4 5 1 2 1 0 2 1 0
2643  0.1586 0.7987 754.9064 88 0 0.5682 4.0032 5.7093 0.4875 41.5600 0.2156 37.9545 4.0455 -2 9 159.6444 56.0257 72.6311 47.1216 10 2 0 1 1 0 0 2 2 0 1 2 1 2 1 0 0 2 0 2 3 0
2644  0.0595 0.2628 736.1013 41 0 0.6098 4.1882 4.6053 0.4502 23.9200 0.5566 24.2381 3.2857 -3 8 111.1018 70.7606 68.8084 59.1255 8 2 0 0 2 0 0 2 4 0 1 2 1 1 1 0 2 1 0 0 2 0
2645  0.4092 0.9267 621.2033 92 1 0.5652 3.9249 5.8281 0.4617 37.5385 0.3928 27.6667 4.2500 -1 10 95.4026 69.1045 24.8475 29.7599 15 0 3 2 1 0 0 3 3 0 3 2 0 0 3 1 0 1 0 0 2 0
2646  0.4556 0.9348 593.7156 85 1 0.5765 3.9105 5.7592 0.4738 34.7347 0.2579 28.7917 4.0833 -2 10 84.5340 62.5430 22.9361 24.5429 15 0 2 2 1 0 0 3 3 0 3 2 0 0 3 1 0 2 0 0 2 0
2647  0.3983 0.7489 516.0012 54 0 0.4630 3.7992 4.9974 0.4961 23.6000 0.2542 12.5882 4.2353 2 11 72.6160 63.7029 72.6311 36.6876 8 1 2 0 2 1 2 0 1 0 1 0 2 0 1 0 2 0 0 1 1 0
2648  0.3805 0.7421 549.7603 54 0 0.4815 3.8825 4.9123 0.4898 24.7692 0.2341 12.5882 4.2353 2 11 77.5257 61.5600 82.1878 36.7158 12 1 2 0 2 1 2 0 1 0 1 0 2 0 1 0 2 0 0 1 1 0
2649  0.3024 0.6939 519.5951 57 0 0.4912 3.8090 5.0036 0.4864 25.8571 0.2193 13.6875 4.3750 2 10 114.8830 41.0474 53.5177 31.5833 8 1 2 0 2 1 2 0 1 0 1 0 2 0 1 0 1 0 0 1 1 0
2650  0.0667 0.0021 382.0586 56 0 0.1786 3.8789 4.2987 0.4393 7.2000 0.5776 8.8125 3.3750 -1 8 53.1356 64.8850 13.3794 43.6999 13 0 0 1 1 0 0 2 5 0 2 0 2 0 0 0 1 0 0 1 1 0
2651  0.3073 0.7505 385.1432 51 0 0.5882 3.7798 3.6884 0.4684 28.8000 0.3340 23.9231 4.1538 1 7 95.5610 25.8478 42.0496 5.2170 7 1 1 0 1 1 2 0 1 0 1 0 1 0 1 0 1 0 0 1 1 0
2652  0.3346 0.7835 493.7526 50 0 0.5200 3.8702 4.6597 0.4829 24.5385 0.2239 13.6875 4.3750 2 10 100.3123 39.9095 38.2269 31.4989 8 1 2 0 2 1 2 0 1 0 1 0 2 0 1 0 1 0 0 1 1 0
2653  0.3430 0.7920 742.3439 59 0 0.4576 3.9273 5.2307 0.5139 25.4815 0.2401 12.5882 4.2353 2 11 87.1076 73.3682 80.2765 48.9450 11 1 2 0 2 1 2 0 1 0 1 0 2 0 1 0 2 0 0 1 1 0
2654  0.2881 0.6625 522.2744 56 0 0.5536 3.8641 4.6867 0.4768 29.0323 0.2625 13.6875 4.3750 2 10 107.5581 45.2890 49.6950 43.7562 7 1 2 0 2 1 2 0 1 0 1 0 2 0 1 0 1 0 0 1 1 0
2655  -0.1160 0.8264 1263.6539 176 1 0.4318 3.9931 7.2595 0.4755 43.6053 0.2432 21.2500 4.1111 0 20 223.4112 139.0370 84.0992 80.1623 18 2 3 2 2 0 0 4 4 1 0 3 2 1 3 0 1 3 0 2 3 0
2656  0.2069 0.6186 274.4375 29 1 0.6897 3.7997 3.0807 0.6098 18.5000 0.0746 29.8889 3.3333 1 5 66.4196 7.5223 38.2269 6.9559 1 2 0 0 0 0 0 0 0 0 0 2 1 0 0 0 2 2 0 0 0 0
2657  0.1194 0.0008 178.2490 33 0 0.2424 3.7213 2.4070 0.4329 7.0000 0.1425 15.6364 5.6364 -2 10 9.6610 39.8653 0.0000 26.1974 4 0 2 0 4 0 0 0 0 0 0 0 0 0 1 0 0 0 2 2 0 0
2658  0.1444 0.0029 383.4798 53 0 0.2264 3.7639 4.5247 0.4670 9.6667 0.3337 9.6000 5.2000 -4 14 30.1907 78.6370 1.9113 67.9894 8 0 2 0 5 0 0 1 0 0 0 0 0 0 1 0 1 0 2 3 0 0
2659  0.0347 0.0004 169.3142 26 0 0.1538 3.7614 2.0019 0.3987 3.0000 0.1792 15.6364 5.6364 -2 10 9.6610 37.7224 1.9113 19.1570 4 0 2 0 4 0 0 0 0 0 0 0 0 0 1 0 0 0 2 2 0 0
2660  0.0655 0.0377 436.0568 53 0 0.6792 3.9536 4.1532 0.4702 34.5556 0.2219 30.2353 4.1176 -3 8 81.1486 46.1391 30.5815 29.5627 7 1 0 1 1 0 0 3 1 0 0 2 1 1 1 0 0 1 0 1 3 0
2661  0.1311 0.9196 1258.2344 180 1 0.4444 4.0357 7.7519 0.4718 43.1500 0.4098 19.2222 4.0278 0 20 209.3946 103.3912 70.7198 59.2944 19 2 3 2 2 0 1 4 4 1 0 3 2 1 3 0 1 3 0 1 3 0
2662  0.2442 0.0170 1105.5311 164 0 0.0732 3.9388 8.3112 0.4557 4.5000 0.3521 -0.0714 4.0238 0 32 73.6653 235.5033 40.1382 98.0027 34 0 4 1 8 1 3 1 4 0 1 1 5 0 2 0 3 5 0 2 1 0
2663  0.0918 0.1525 149.3294 21 0 0.4762 3.7727 2.2332 0.5972 9.0000 0.0627 34.2500 3.5000 1 4 49.5128 8.5938 21.0248 6.9559 3 2 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 2 0 0 0 0
2664  0.2715 0.8566 928.1445 120 0 0.2333 3.9619 7.0011 0.4197 24.6429 0.1526 4.3636 4.2121 -3 25 102.6484 157.8714 53.5177 50.7403 24 1 2 0 8 1 3 1 0 0 1 1 4 1 3 0 2 4 0 1 0 0
2665  0.0377 0.9481 1051.8414 153 1 0.7190 3.8994 7.1159 0.4199 62.9636 0.4086 35.0714 4.5714 -1 16 187.5781 103.3248 59.2517 34.8642 14 0 1 2 2 0 1 1 2 1 1 2 0 1 3 1 0 3 2 3 2 0
2666  0.0825 0.2060 1372.8760 143 1 0.6364 4.1299 7.8909 0.5120 52.6154 0.4415 -0.5263 4.5789 4 12 159.4069 182.8027 128.0601 145.2650 19 0 5 0 1 0 0 2 3 1 0 0 1 1 1 2 0 1 1 0 0 0
2667  0.1644 0.8001 468.2998 46 0 0.8043 4.0907 4.0530 0.5653 35.3514 0.1222 63.4706 4.7647 1 4 101.6783 15.1553 40.2375 3.5061 4 0 1 0 0 0 0 1 1 1 1 6 0 3 2 0 0 1 0 0 0 0
2668  -0.0907 0.0008 282.9496 20 0 0.4000 3.9984 3.3283 0.4442 7.0000 0.5211 13.6000 3.4000 0 5 68.8348 43.9741 47.7836 26.1129 6 0 0 2 1 0 0 0 2 0 1 0 1 0 1 0 1 0 0 0 1 0
2669  0.0766 0.0099 232.1809 17 0 0.5294 3.7107 2.8439 0.5699 8.0000 0.4429 37.2857 3.5714 1 3 71.2501 24.8206 47.7836 22.7476 2 2 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 1 0 0 0 0
2670  0.0379 0.0618 798.7200 91 0 0.3846 4.0102 5.3588 0.4729 32.4571 0.6326 28.8750 4.6875 -2 9 94.1950 151.5626 72.6311 114.9701 7 0 1 1 1 0 1 2 1 0 1 1 0 1 2 1 0 1 2 0 0 0
2671  -0.0140 0.0156 1795.1851 180 1 0.3889 4.1276 9.7898 0.4782 27.6857 0.3624 21.5455 3.5000 -2 8 275.3393 173.4565 114.6807 265.6210 12 3 1 1 3 0 0 1 3 0 4 1 1 0 0 1 0 1 0 0 2 0
2672  0.1868 0.9359 1419.8057 156 0 0.2051 3.9025 9.7534 0.4442 16.0625 0.4247 18.9500 3.9500 -2 23 159.4069 224.6652 66.8971 149.9469 20 2 2 0 4 0 2 2 4 0 4 1 2 0 1 2 3 4 1 3 3 0
2673  0.3565 0.9842 1357.8086 220 0 0.5273 3.9199 8.1047 0.4578 66.9138 0.0895 46.5366 4.3415 2 13 197.3184 100.3981 84.5956 10.4902 26 1 4 2 1 1 1 1 3 0 3 7 0 0 7 1 2 2 0 0 5 0
2674  0.3400 0.9815 1299.2827 225 0 0.5600 3.9484 7.9048 0.4608 70.9841 0.0577 47.8462 4.3590 3 12 194.9823 98.2109 94.1523 13.9682 22 1 4 2 0 1 1 1 3 0 3 6 0 0 7 1 2 2 0 0 5 0
2675  0.3104 0.9860 1300.1809 232 0 0.5862 3.9320 7.8481 0.4599 79.3382 0.0500 45.8000 4.3500 2 13 199.7336 86.4249 75.0388 6.9841 27 1 4 2 1 1 1 1 3 0 3 7 0 0 7 1 2 2 0 0 4 0
2676  0.2961 0.9868 1330.8372 211 0 0.5972 3.9648 7.9215 0.4828 76.3333 0.1262 43.4146 4.3171 1 14 213.0175 96.1123 103.7090 5.2170 26 1 4 2 1 1 1 2 3 0 3 6 0 0 7 1 2 2 0 0 5 0
2677  0.2549 0.1610 752.0158 101 0 0.3861 3.9482 5.7877 0.4497 23.4872 0.3395 33.1429 3.6667 -2 9 117.6150 83.8615 64.9857 90.6525 10 1 0 0 1 3 0 2 4 1 0 2 0 0 1 0 2 0 2 1 1 0
2678  -0.1241 0.0183 198.9369 24 0 0.7917 3.9609 1.8074 0.5937 18.0000 0.3047 56.2857 5.7143 -1 5 48.3051 33.2152 21.0248 29.5627 3 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 2 1 0 0
2679  0.5007 0.6361 1090.1444 197 0 0.1980 3.8116 9.2612 0.4282 21.2308 0.1879 15.1667 4.3333 4 28 113.5170 151.0886 19.1134 26.3101 34 3 4 4 2 0 0 4 4 2 0 2 4 0 2 0 1 2 1 4 3 0
2680  0.4252 0.7560 1125.0911 225 0 0.1911 3.8516 9.2549 0.4437 22.3256 0.1980 17.1163 4.3488 4 28 125.5933 157.6501 24.8475 31.5270 34 3 4 4 2 0 0 4 4 2 1 2 4 0 2 0 1 2 1 4 3 0
2681  0.3664 0.8666 658.9023 100 1 0.4000 3.8865 5.4349 0.4387 37.9500 0.5040 16.6154 4.6538 7 14 83.3263 82.4488 32.4929 26.2819 18 1 5 1 0 1 1 1 0 2 0 3 1 0 2 4 1 1 1 0 1 0
2682  0.2983 0.7658 799.8105 84 0 0.6071 3.8832 7.3893 0.4552 32.7843 0.3103 31.2917 3.7917 -2 9 152.3195 75.4447 53.5177 75.0861 9 3 0 1 1 0 0 3 3 0 1 3 2 1 1 0 1 0 0 1 3 0
2683  0.2646 0.0116 224.7537 20 0 0.4500 3.9419 2.1251 0.6821 8.0000 0.5914 26.7143 3.7143 2 5 49.5128 15.1111 30.5815 33.2097 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 1 1 0 0 1 0
2684  0.1359 0.0949 340.4021 62 1 0.5000 3.9931 3.0212 0.5524 30.0000 0.5666 12.2857 3.0000 1 3 53.2148 55.7380 13.3794 12.2011 7 0 1 0 0 0 0 0 3 0 0 0 0 1 0 0 0 2 0 0 0 0
2685  0.0625 0.1439 397.6017 47 0 0.4894 3.7940 3.9723 0.4031 21.9130 0.6686 29.0000 3.8571 1 6 72.6952 48.6361 43.9609 22.7758 11 1 1 0 0 0 0 1 3 0 0 2 1 1 0 0 0 2 0 1 1 0
2686  -0.2219 0.4031 1001.7525 110 1 0.5273 3.8997 7.2819 0.4420 38.9655 0.3066 19.7586 3.8621 1 16 170.2755 159.3947 74.5425 125.5730 12 1 1 2 2 0 1 1 3 1 1 4 2 1 0 1 3 1 0 2 2 0
2687  -0.0855 0.5670 1282.0588 142 1 0.4718 3.9358 7.9678 0.5003 27.3731 0.0000 26.3529 4.0000 0 8 229.6076 152.5234 137.6169 92.1943 21 1 2 0 0 0 1 2 3 0 0 2 0 2 0 0 0 2 0 1 1 0
2688  -0.0362 0.3662 1041.8433 133 1 0.4737 3.9484 7.3998 0.5032 48.5397 0.1963 11.3200 4.3200 1 16 207.3753 127.6271 97.6771 96.2919 21 2 4 0 3 1 2 2 2 1 1 0 1 1 1 0 1 0 0 2 1 0
2689  -0.0170 0.0007 270.9804 17 0 0.2353 3.9520 2.7753 0.4697 3.0000 0.0881 18.0000 5.1250 0 6 32.6060 47.2770 22.9361 31.3580 6 0 2 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 1 1 0
2690  0.3756 0.7894 494.1631 86 0 0.6512 3.8488 4.9220 0.5019 46.8571 0.3448 33.2353 4.4706 -1 7 102.6484 36.6066 51.6063 12.1729 9 2 2 0 0 0 0 3 2 0 1 3 0 0 1 1 0 0 1 1 0 0
2691  0.2496 0.8620 433.0055 63 0 0.6190 3.8247 4.8745 0.4662 32.9231 0.1492 31.8235 4.4118 -1 7 95.4026 30.1336 47.7836 13.9119 6 2 2 0 1 0 0 2 2 0 1 3 0 0 1 1 0 0 1 1 0 0
2692  0.2387 0.8479 502.2752 71 0 0.6761 3.8547 4.9516 0.4879 40.7083 0.2186 28.3333 4.3889 -2 8 112.3094 41.9418 53.5177 17.3898 9 2 2 0 1 0 0 3 2 0 1 3 0 0 1 1 0 0 1 1 0 0
2693  0.1694 0.0692 1026.3086 99 1 0.1313 3.8109 8.1488 0.4783 6.0000 0.5857 12.0909 3.6061 2 16 147.4098 140.3519 76.4538 52.3667 26 2 1 1 3 0 1 1 6 1 0 1 4 3 1 1 3 0 0 1 3 0
2694  0.2989 0.7746 383.7408 28 1 0.6071 3.8616 4.5638 0.5118 15.1765 0.2160 26.9091 3.3636 0 6 64.0043 43.9520 47.7836 31.3017 5 2 0 0 0 0 0 1 0 0 0 2 1 0 0 0 3 1 0 0 1 0
2695  -0.0677 0.0076 290.8057 18 0 0.4444 4.1835 2.6609 0.5459 7.0000 0.7395 27.6667 4.2222 3 5 75.2688 13.9290 53.6169 10.4339 2 0 0 0 0 2 0 0 1 1 0 1 2 0 0 0 1 0 1 0 0 0
2696  0.0845 0.9501 1174.7412 112 0 0.5357 4.0094 6.9416 0.4738 50.3667 0.2264 27.4643 4.2143 -1 17 213.4926 79.8412 118.7020 34.9768 15 0 0 2 3 0 1 1 1 3 2 2 0 3 2 1 2 2 1 2 0 0
2697  0.1525 0.7840 509.4191 43 0 0.8605 4.0704 3.8024 0.4399 35.5676 0.4442 60.5000 4.4000 0 2 126.3058 6.5173 88.1204 0.0000 3 0 0 0 0 0 1 0 1 0 2 0 0 3 2 0 1 0 0 0 0 0
2698  -0.1992 0.0016 667.8133 41 0 0.3902 4.1193 4.4079 0.4730 13.0000 0.3792 28.2000 3.0000 -2 3 115.9323 75.0907 93.6559 94.0741 1 1 0 0 2 0 0 0 4 0 3 0 0 0 0 1 0 1 0 0 3 0
2699  0.4908 0.5144 708.3010 96 0 0.5104 3.8527 5.7565 0.5218 34.8980 0.2239 35.9000 4.3000 -1 8 70.0424 67.7453 53.5177 50.4305 12 3 2 0 0 0 0 3 2 0 2 3 0 0 1 1 0 1 1 1 0 0
2700  0.0436 0.6398 628.2492 82 0 0.7561 3.9712 5.1065 0.4626 54.3548 0.2024 41.0625 4.3750 -1 7 132.8391 43.9962 82.1878 33.0407 7 1 0 1 0 0 2 1 0 0 0 2 0 0 4 1 1 1 0 1 1 0
2701  -0.0631 0.9372 1546.6787 188 1 0.5426 4.0436 8.4397 0.5344 42.1569 0.4567 37.0250 3.7500 1 14 252.4734 162.3343 133.8934 52.5075 31 8 1 1 2 0 0 0 5 0 4 3 2 1 2 1 3 1 1 3 2 0
2702  -0.0736 0.0005 159.6440 18 0 0.6111 3.8796 1.5697 0.6822 10.0000 0.5631 32.4286 3.5714 0 2 37.4365 35.4467 11.4681 20.8678 3 0 0 0 0 0 0 1 2 1 0 0 0 1 1 0 0 0 0 0 1 0
2703  0.4070 0.9967 1470.2557 230 0 0.5174 3.9092 9.8227 0.4552 58.3193 0.4002 31.8113 3.7925 4 21 210.2856 138.5409 44.0602 34.8923 34 5 1 5 0 0 1 0 5 1 0 8 2 2 4 4 3 5 0 3 4 0
2704  0.3474 0.9953 1350.0900 232 0 0.4914 3.9097 9.6478 0.4459 58.2807 0.3008 32.0000 3.7647 4 21 223.6487 132.7410 43.9609 31.4707 35 5 1 5 0 0 1 0 5 1 0 8 2 2 3 3 3 5 0 3 4 0
2705  0.5052 0.9953 1453.7809 265 0 0.4792 3.8937 10.3338 0.4457 56.5669 0.3207 30.6140 3.8772 5 25 210.2064 153.6520 42.0496 31.3862 41 5 1 5 0 0 2 0 5 1 0 8 3 2 4 4 4 5 1 3 4 0
2706  0.5204 0.9948 1441.6874 260 0 0.5077 3.8803 10.3246 0.4450 60.9394 0.3263 30.6140 3.8772 5 25 218.8181 137.2482 42.1489 33.0970 39 5 1 5 0 0 2 0 5 1 0 8 3 2 4 4 4 5 1 3 4 0
2707  0.1664 0.0012 401.2331 22 0 0.3636 4.1704 3.7596 0.7171 7.0000 0.3496 13.8000 3.8000 0 5 65.2119 55.0649 55.4290 62.9977 8 2 1 0 1 0 0 1 0 1 1 0 0 0 1 1 1 0 0 0 0 0
2708  0.1101 0.0032 391.8180 17 0 0.4706 4.2368 3.7890 0.7219 7.0000 0.2798 16.8889 3.4444 -1 4 60.3814 41.9418 57.3404 43.6154 7 2 0 0 1 0 0 1 0 1 1 0 0 0 1 1 1 0 0 0 0 0
2709  0.1829 0.5870 239.5153 31 0 0.7742 3.8531 2.8175 0.4248 23.0000 0.5358 51.9091 4.2727 -1 2 85.9791 7.5002 28.6702 1.7390 1 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 0 1 0 4 0
2710  -0.0050 0.0009 359.6247 24 0 0.2917 4.1456 2.5034 0.4671 6.0000 0.5674 27.7000 4.6000 2 7 60.3814 24.7321 47.7836 19.1852 4 0 0 0 1 0 0 0 0 3 1 0 0 0 1 1 1 0 1 1 0 0
2711  -0.0225 0.2714 1396.4515 176 0 0.2955 4.0447 8.4516 0.4820 41.3077 0.3485 23.5882 3.7353 2 16 220.9959 175.3559 137.6169 181.3050 19 2 0 2 0 0 0 3 5 3 2 3 2 1 0 2 2 1 0 3 3 0
2712  0.1811 0.1746 1131.8280 111 0 0.2613 4.0145 7.7615 0.5243 17.6552 0.1962 27.7778 3.5556 0 11 134.0467 164.5971 122.3261 131.0152 18 2 0 1 0 0 0 3 3 3 2 3 0 1 0 2 2 1 0 1 3 0
2713  0.2812 0.0504 538.9306 52 0 0.4808 3.9041 6.2914 0.4867 17.0400 0.2309 12.5000 4.2222 3 11 67.9439 95.0187 19.1134 62.9132 9 0 3 2 0 1 1 0 1 0 0 1 0 1 0 2 2 1 0 2 1 0
2714  -0.0573 0.0001 211.7551 19 0 0.3158 4.0318 2.3398 0.5741 5.0000 0.3788 38.1250 4.5000 -1 4 43.4746 42.8584 40.1382 57.4147 0 0 0 0 1 0 1 1 0 1 1 2 0 0 1 0 0 0 0 0 0 0
2715  0.0078 0.9777 1528.8514 210 0 0.6333 3.9601 8.4463 0.4880 74.4211 0.4266 48.1081 4.5946 1 14 292.3642 96.8296 122.6239 40.1375 21 2 1 0 0 1 1 3 1 1 4 6 2 3 4 1 3 0 0 3 1 0
2716  0.1663 0.9933 1649.4769 232 0 0.4440 3.9866 11.1396 0.4844 42.0971 0.3564 31.0980 4.0980 3 29 272.5080 173.5671 105.7196 113.7662 26 3 3 4 2 1 1 0 4 2 1 4 0 2 4 1 6 4 2 5 2 0
2717  0.2506 0.0002 435.7932 46 0 0.0217 4.0926 3.7247 0.5484 0.0000 0.4035 10.1333 2.6667 1 8 44.6822 94.3455 21.0248 50.8811 10 4 1 1 1 0 0 0 2 1 0 1 0 0 0 0 4 0 0 0 0 0
2718  0.1869 0.9428 906.8049 124 0 0.5565 3.9357 7.3362 0.4271 55.0145 0.1834 50.3704 3.9630 -1 8 180.8074 87.0095 49.9928 48.8324 15 3 0 2 1 0 1 0 3 0 3 3 0 1 3 0 1 1 1 1 3 0
2719  -0.0082 0.0007 226.6200 17 0 0.1765 3.8812 2.7613 0.4629 2.0000 0.3408 41.0000 4.7500 2 4 62.7967 22.8990 64.9857 21.2057 3 0 1 1 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 1 0
2720  0.1872 0.0249 296.1781 31 0 0.3226 3.7950 3.6380 0.5290 9.0000 0.1701 6.2000 3.5000 -1 6 66.8154 68.2986 21.1241 33.2942 5 1 0 2 1 0 0 1 1 0 1 0 1 1 0 0 0 1 0 0 0 0
2721  -0.0563 0.0701 324.5974 48 0 0.4792 4.0299 2.6222 0.5138 22.0000 0.3722 58.5000 4.6667 1 4 54.3433 40.8925 28.6702 35.0331 6 2 1 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 3 2 0
2722  -0.2628 0.8171 778.8903 75 0 0.9600 4.0610 6.9970 0.6032 43.4444 0.4573 76.8667 5.8667 1 6 239.5854 13.9290 172.6167 12.1729 1 1 1 0 0 0 0 0 0 0 1 2 0 1 3 0 0 0 2 3 1 0
2723  0.0531 0.9406 744.5570 107 0 0.9346 3.9720 5.6851 0.4997 76.0600 0.4433 56.3478 4.6522 0 7 165.4450 10.7810 59.2517 0.0000 6 3 0 0 0 0 0 1 1 0 2 2 1 2 3 1 1 0 1 3 2 0
2724  0.1679 0.0072 907.3615 96 0 0.1354 4.0559 7.5272 0.4828 5.2308 0.4183 1.9615 4.1923 6 19 102.6484 167.6031 28.6702 124.6507 16 1 6 0 1 0 3 1 2 2 0 2 0 0 0 2 2 3 0 1 0 0
2725  0.1658 0.0023 1077.0527 103 0 0.1553 4.0578 7.7766 0.4744 7.0000 0.4010 0.5357 4.1071 5 21 96.6103 182.6699 26.7588 147.5954 21 1 6 0 1 0 3 2 2 2 0 2 0 0 0 2 3 3 0 1 0 0
2726  -0.1844 0.0059 374.6143 15 0 0.8667 4.2331 3.2572 0.5423 12.0000 0.4834 29.6000 5.0000 2 3 105.0637 13.0788 103.2126 10.6029 1 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 1 0 0 0 0 0
2727  0.2935 0.0004 415.5499 41 0 0.1220 4.0949 3.9643 0.4534 4.0000 0.4161 -1.3571 4.2143 5 10 49.5128 82.4931 15.2908 75.7338 8 0 4 0 0 0 1 0 1 1 0 1 0 0 0 2 1 3 0 0 0 0
2728  0.3603 0.0018 486.7800 76 0 0.1974 3.8156 4.4677 0.3980 11.3333 0.6016 23.6111 3.7778 0 10 50.9579 81.8292 13.3794 69.6439 12 1 1 0 1 2 1 1 3 1 1 0 0 0 0 0 2 0 1 2 1 0
2729  0.3319 0.0046 664.2776 87 0 0.2184 3.9394 4.8736 0.4405 16.1053 0.6555 23.9130 3.8696 1 12 63.1133 98.2552 15.2908 78.7894 16 1 2 0 1 3 2 1 4 1 1 0 0 0 1 0 2 0 1 2 1 0
2730  -0.0782 0.7372 1417.8372 144 0 0.3750 4.0006 8.6150 0.4336 36.0000 0.6693 23.5455 3.8788 -2 15 186.2914 200.8533 70.7198 125.7701 16 3 2 2 2 0 1 4 3 0 3 3 2 3 0 0 2 0 0 0 3 0
2731  0.1420 0.8270 1478.2454 213 1 0.5164 3.9698 11.2446 0.4813 48.5636 0.2243 48.2791 4.4651 2 19 280.1697 149.0785 114.6807 91.2439 17 4 0 1 1 0 2 0 0 2 3 5 1 1 5 2 2 4 1 5 4 0
2732  -0.0746 0.0057 189.4163 34 0 0.6765 3.9686 1.9512 0.4562 22.0000 0.7105 59.6000 4.7000 1 4 53.1356 15.0226 13.3794 3.4780 2 0 0 0 0 1 1 0 0 1 0 3 0 0 2 0 1 0 0 1 0 0
2733  -0.0754 0.9874 1705.4625 264 0 0.5530 3.8911 9.3320 0.4231 65.6438 0.6106 54.0909 4.6364 1 15 346.2124 123.0315 74.9396 33.1815 24 2 1 0 0 1 1 3 1 1 5 10 2 3 5 1 3 1 0 3 1 0
2734  0.2892 0.2379 758.2562 77 0 0.3247 4.1071 6.2667 0.4960 16.8000 0.0747 32.7273 4.5000 2 14 104.3310 93.7259 49.8935 73.3190 11 2 2 0 2 0 1 0 1 2 2 1 0 1 0 0 0 3 1 3 1 0
2735  -0.1144 0.8762 1888.3275 228 0 0.4825 3.9046 9.6857 0.4720 38.3636 0.2947 26.4889 3.5778 0 22 304.3224 209.7754 133.7942 106.4723 18 4 1 1 2 0 2 0 5 1 2 3 0 1 2 3 5 6 1 3 3 0
2736  -0.1756 0.3686 1971.0562 245 0 0.4367 3.9055 9.7168 0.4640 33.2710 0.3033 27.8913 3.6304 -1 23 303.4314 228.8846 145.2623 134.0989 23 4 1 1 3 0 2 0 5 1 2 3 0 1 3 2 5 6 1 3 3 0
2737  0.2355 0.7566 589.1781 81 0 0.6914 3.9218 4.9480 0.5015 46.5714 0.3838 33.2353 4.4706 -1 7 118.3476 38.7274 72.6311 17.4180 9 2 2 0 0 0 0 3 2 0 1 3 0 0 1 1 0 0 1 1 0 0
2738  -0.5529 0.5146 2500.5081 253 0 0.4822 3.9583 10.1865 0.4730 35.5902 0.2957 30.8235 3.6863 -1 23 413.1673 274.8910 233.2834 156.7902 25 5 1 1 3 0 2 0 5 1 2 5 0 1 4 3 5 6 1 3 3 0
2739  -0.1547 0.4174 1942.9521 228 0 0.4386 3.8805 9.5466 0.4611 31.9200 0.2233 28.6383 3.7021 -1 24 287.6531 237.5227 133.8934 127.1430 20 4 1 1 3 0 2 0 5 1 2 3 0 1 3 2 5 6 1 4 3 0
2740  -0.4228 0.0485 2708.0569 266 0 0.4511 3.9251 10.4098 0.4566 35.6833 0.2296 33.1765 3.7255 -1 23 437.9532 263.3484 221.9146 216.0284 28 5 1 1 3 0 2 0 5 1 2 5 0 2 4 2 5 6 1 3 3 0
2741  -0.2014 0.5274 1881.4694 190 0 0.3789 3.9537 8.8688 0.4781 31.1667 0.1971 26.6829 3.7073 -1 22 274.4482 217.4526 175.9430 132.6697 23 4 1 1 3 0 2 0 3 1 2 3 0 1 2 2 5 5 1 3 2 0
2742  -0.3509 0.0342 2047.1566 209 0 0.4833 3.9981 8.8610 0.4584 37.5050 0.2556 32.3846 3.7949 -1 18 333.7804 202.8155 176.1416 177.5736 13 5 1 0 3 0 1 0 3 1 1 4 0 1 3 2 4 4 1 3 2 0
