Entry_ID  Pocket_Score drug_score volume nb_asph inter_chain apol_asph_proportion mean_asph_radius as_density mean_asph_solv_acc mean_loc_hyd_dens flex hydrophobicity_score volume_score charge_score polarity_score a0_apol a0_pol af_apol af_pol n_abpa ala cys asp glu phe gly his ile lys leu met asn pro gln arg ser thr val trp tyr
24  0.3156 0.3548 938.9727 132 0 0.3106 4.0172 7.5019 0.5080 25.4634 0.3098 12.9118 3.2941 -1 21 108.8449 130.3547 70.7198 50.5995 26 0 0 2 3 1 0 2 4 3 1 3 1 0 1 1 3 7 0 0 2 0
25  0.0021 0.1939 1500.6112 147 1 0.4626 4.0711 7.6297 0.4761 37.1765 0.3429 28.8750 3.6250 -2 4 200.4662 159.1513 108.9467 150.0033 11 1 1 0 3 0 0 0 3 0 3 1 0 0 1 1 0 0 0 0 2 0
26  0.2454 0.9063 750.7356 77 0 0.4805 3.8940 5.9872 0.4813 25.1351 0.2465 13.5000 3.5000 2 10 147.3306 53.2096 101.3013 29.9570 13 0 0 1 2 1 0 0 3 3 1 1 1 0 0 1 1 1 1 0 1 0
27  0.1199 0.0026 203.7162 19 0 0.4211 3.7792 2.5731 0.4264 7.0000 0.5245 21.3333 5.0000 -2 7 38.6441 46.3383 21.0248 26.1693 5 0 0 0 3 0 1 0 0 0 1 1 1 0 0 0 0 0 2 0 0 0
28  0.1651 0.0006 178.7092 29 0 0.1724 3.6891 2.1773 0.4517 4.0000 0.5584 11.6000 3.2000 -1 5 26.5678 38.9045 13.3794 24.4584 9 1 1 0 2 0 0 0 2 0 0 1 0 0 0 0 0 2 0 0 1 0
29  0.2912 0.0002 234.5453 30 0 0.1000 3.7713 2.3154 0.4480 2.0000 0.5800 5.5455 3.1818 -2 6 33.8136 46.3825 17.2021 36.6595 8 1 1 0 3 0 0 0 2 0 0 1 0 0 0 0 0 2 0 0 1 0
30  0.1984 0.0044 266.4415 24 0 0.4167 3.9149 2.9147 0.4840 9.0000 0.4867 21.3333 5.0000 -2 7 47.0975 53.8606 32.4929 34.8642 5 0 0 0 3 0 1 0 0 0 1 1 1 0 0 0 0 0 2 0 0 0
31  -0.1212 0.1263 1588.1414 193 1 0.3679 4.1006 8.9197 0.4810 33.2676 0.3009 28.4286 3.9524 -1 8 205.2967 215.7302 103.2126 180.1011 15 1 1 0 3 0 0 1 2 1 3 3 1 1 0 1 0 1 0 0 2 0
32  0.2903 0.8991 611.7064 70 0 0.2857 3.9344 5.1290 0.4793 15.2000 0.3212 12.6818 3.5000 1 12 86.2166 84.1713 34.5035 22.7476 18 2 1 2 0 0 0 2 2 2 0 0 0 1 1 2 2 2 0 1 2 0
33  0.1892 0.9448 704.9659 88 0 0.2614 3.9415 5.8279 0.4750 18.2609 0.4852 25.5200 3.5200 2 10 131.2155 85.0879 36.5141 27.9646 16 3 1 2 0 1 0 1 2 2 1 0 0 1 1 2 2 1 0 1 4 0
34  0.2440 0.8287 662.2071 61 0 0.6721 3.8281 6.3483 0.4905 27.0244 0.5834 44.6364 3.9091 -1 7 126.8010 62.2995 17.2021 40.0811 6 3 0 0 2 0 0 1 1 1 1 6 1 1 1 0 1 1 0 0 2 0
35  0.3481 0.9156 618.4473 116 0 0.4052 3.9159 5.6872 0.4872 39.9574 0.3818 15.4231 3.5000 -2 17 91.7596 68.0552 21.1241 13.9400 19 1 1 0 3 2 2 1 2 1 1 0 0 1 2 0 5 3 1 0 0 0
36  0.3481 0.6824 505.0191 66 0 0.6061 3.8931 4.4271 0.4715 37.6500 0.3221 9.8125 4.1875 0 11 85.7416 47.5204 55.4290 34.9205 11 1 2 0 2 0 2 1 1 0 1 0 1 0 1 0 2 0 0 1 1 0
37  0.0061 0.9023 1043.1322 160 0 0.5813 3.8833 6.3515 0.4262 63.3333 0.3036 39.9091 4.5152 0 18 198.0510 108.4608 59.2517 34.8360 17 0 1 1 1 0 2 1 6 1 2 2 0 1 4 0 3 0 3 5 0 0
38  0.2985 0.0007 314.6697 31 0 0.1290 3.8105 3.5442 0.4999 3.0000 0.3869 12.2143 4.4286 2 9 35.5754 63.9906 9.5567 28.1054 10 1 2 2 2 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 1 0
39  0.2551 0.9259 771.1783 86 0 0.6395 4.0257 6.4112 0.5331 42.9455 0.1413 26.9130 4.3043 -2 11 147.7265 63.5923 84.4963 38.5674 14 1 0 0 4 0 1 1 1 3 0 3 0 3 2 2 0 0 2 0 0 0
40  0.2272 0.6797 526.1599 45 0 0.6667 3.9023 4.9903 0.4964 24.8000 0.7582 25.1111 4.0000 2 9 118.5059 57.2078 53.5177 26.2819 8 3 2 0 1 0 0 0 0 0 0 0 1 1 1 1 2 2 0 1 3 0
41  0.2433 0.3576 537.0958 80 0 0.5875 3.9400 4.0492 0.5252 46.0000 0.2030 42.0769 4.3846 0 7 80.9111 67.6789 45.8723 59.1536 6 2 0 0 0 0 1 1 1 1 1 1 0 0 1 0 0 1 0 3 0 0
42  0.3701 0.6273 369.6504 52 0 0.6923 3.8408 2.9306 0.5111 34.9444 0.4334 44.4000 4.4000 0 5 55.5509 31.1166 21.0248 8.6949 7 2 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 3 0 0
43  0.2027 0.0503 358.1728 33 0 0.2121 3.8002 3.7099 0.4742 5.7143 0.3372 -0.1000 3.6000 0 7 68.8348 51.7841 38.2269 31.3862 8 1 0 2 1 1 1 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0
44  0.2600 0.0690 322.5840 27 0 0.2593 3.7636 3.5143 0.4841 5.7143 0.3921 -0.1000 3.6000 0 7 62.7967 42.0746 32.4929 26.2537 8 1 0 2 1 1 1 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0
45  0.1555 0.9154 1459.6335 204 0 0.4412 4.0183 8.4420 0.5129 44.6889 0.4773 31.8235 4.2647 0 20 207.7911 130.6424 89.9325 97.9464 18 1 2 2 2 1 1 1 1 1 1 5 0 0 3 1 4 3 1 3 1 0
46  0.3271 0.6149 650.7296 64 0 0.6562 4.0000 5.9159 0.4794 33.6190 0.4106 28.1905 3.8571 -2 8 117.2983 59.2179 80.2765 62.7724 8 3 1 1 1 0 0 3 3 0 1 2 1 1 1 0 0 0 0 1 2 0
47  0.3773 0.7503 362.5813 43 0 0.5116 3.8211 3.6007 0.5127 21.0000 0.1969 27.6923 4.6154 -1 9 67.6272 34.5522 55.4290 10.4621 7 0 1 2 0 0 0 2 1 0 2 0 0 0 0 0 1 0 1 2 1 0
48  0.2368 0.8139 394.9339 87 1 0.4713 3.8231 4.2843 0.4408 40.0000 0.4103 29.5500 4.6000 2 12 70.0424 52.9883 7.6454 7.0686 14 0 2 2 1 0 0 0 1 0 3 2 1 0 1 1 3 0 1 2 0 0
49  -0.0542 0.2542 778.3297 75 0 0.4000 3.9889 5.8506 0.4750 25.3333 0.5629 30.7500 4.7857 3 18 109.9733 114.6590 30.5815 28.0490 19 0 4 2 1 1 0 1 1 1 2 3 0 0 1 1 1 3 1 4 1 0
50  0.1379 0.2102 291.8824 54 1 0.3148 3.8403 3.3978 0.4788 16.0000 0.2243 27.8750 4.8125 2 11 43.4746 53.0105 5.7340 10.5184 13 0 2 2 1 0 0 0 1 0 2 1 1 0 1 0 2 0 1 2 0 0
51  -0.0379 0.0112 282.5209 27 0 0.4815 3.8218 3.1367 0.4142 12.0000 0.4733 16.6250 3.3750 1 4 61.5890 48.4812 43.9609 41.9328 5 2 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0
52  0.1192 0.0020 161.3219 23 0 0.1739 3.6715 2.6053 0.3980 3.0000 0.5176 24.5000 3.5000 0 4 35.0212 41.9639 7.6454 8.6949 6 2 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0
53  0.0197 0.0048 212.8671 19 0 0.6316 4.0180 2.0636 0.6312 11.0000 0.3427 30.3000 3.5000 0 4 60.3814 18.3476 38.2269 12.2292 5 1 0 1 1 0 0 0 2 1 2 0 0 0 0 0 0 0 0 1 1 0
54  0.2207 0.6029 325.8434 43 1 0.8140 3.8561 3.3544 0.3978 33.4857 0.1604 43.5000 4.0714 0 5 62.9550 32.3429 21.0248 13.9682 5 1 0 1 0 0 1 0 0 0 1 0 0 1 4 1 2 1 0 0 1 0
55  0.3189 0.5747 350.1793 51 1 0.7843 3.8637 3.3162 0.4312 38.4000 0.0990 43.5000 4.0714 0 5 76.0806 34.4637 34.4042 20.9523 5 1 0 1 0 0 1 0 0 0 1 0 0 1 4 1 2 1 0 0 1 0
56  0.1879 0.5043 246.2518 24 1 1.0000 4.0570 2.5955 0.4730 23.0000 0.4418 52.1111 4.1111 0 1 76.0806 7.5002 57.3404 0.0000 2 0 0 0 0 0 0 0 0 0 4 0 0 0 0 2 0 1 0 0 2 0
57  -0.0360 0.0317 272.1562 36 1 0.9167 3.8478 2.6631 0.4947 32.0000 0.3229 62.6250 5.3750 2 4 65.2119 18.5025 57.3403 8.7794 4 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 2 0 1 0
58  -0.1104 0.2551 1206.8486 118 0 0.2203 3.9209 7.2494 0.4337 17.9231 0.3231 -0.8462 3.8462 3 16 162.2180 201.3494 97.4786 108.8027 21 0 4 2 2 0 0 1 3 1 1 0 1 1 2 3 3 2 0 0 0 0
59  -0.1104 0.2551 1157.8618 118 0 0.2203 3.9209 7.2494 0.4337 17.9231 0.3231 -0.8462 3.8462 3 16 162.2180 201.3494 97.4786 108.8027 21 0 4 2 2 0 0 1 3 1 1 0 1 1 2 3 3 2 0 0 0 0
60  0.2794 0.3197 651.1447 73 0 0.2192 3.9436 5.3991 0.4017 11.2500 0.4241 4.2500 3.8000 1 13 84.6131 101.5138 40.1382 26.1974 18 0 2 2 2 0 0 1 2 1 1 0 1 1 2 1 3 1 0 0 0 0
61  0.2431 0.9250 903.1722 91 0 0.4835 3.8602 7.1706 0.4875 22.6818 0.1749 31.1000 3.5000 0 6 171.4832 80.1068 114.6807 45.5797 17 3 1 1 1 0 0 1 2 1 2 0 0 1 0 1 0 1 0 0 5 0
62  0.2705 0.6895 652.1208 62 1 0.7097 3.8975 5.0909 0.4524 39.5455 0.2440 34.7500 4.0000 1 10 80.9111 92.2561 43.9609 53.9085 9 1 1 1 0 0 1 0 1 0 1 0 0 1 4 1 4 2 1 0 1 0
63  0.4293 0.8034 479.6852 95 1 0.2632 3.7739 5.1267 0.4489 21.4400 0.1606 26.9565 4.3478 4 14 49.5128 83.3875 1.9113 6.9559 22 1 3 1 1 1 0 0 2 1 0 1 1 0 2 0 3 1 1 2 2 0
64  0.0505 0.0322 1589.7878 175 1 0.3543 4.0536 8.6194 0.5039 27.0000 0.3989 25.7273 3.5909 -1 5 233.0722 166.5187 131.8828 195.8083 16 1 1 0 3 0 0 0 5 0 4 1 1 1 1 2 0 0 0 0 2 0
65  0.0932 0.1267 1392.8188 154 1 0.4351 4.0989 8.0423 0.5129 35.6716 0.4405 32.1053 3.8947 -1 5 192.0129 147.2546 80.2765 176.5667 11 1 1 0 3 0 0 0 3 0 3 2 1 1 1 1 0 0 0 0 2 0
66  0.2099 0.9316 804.7036 90 0 0.3333 3.9517 5.3683 0.4758 25.8667 0.2256 29.2917 3.9583 3 13 126.8009 77.0030 89.8332 31.7523 16 2 2 2 1 1 0 0 3 2 1 2 0 0 1 0 2 1 1 2 1 0
67  0.3656 0.5934 1245.2493 173 0 0.3353 3.9887 8.1365 0.4608 30.6207 0.4459 23.0000 4.3636 5 19 163.1881 126.7991 122.3261 43.7844 24 2 5 0 2 0 1 0 5 1 2 1 1 1 1 1 1 3 1 4 1 0
68  0.2323 0.0045 371.5161 31 0 0.2581 3.9812 3.4502 0.4725 7.0000 0.3020 26.4615 3.7692 -1 8 61.5890 36.6952 32.4929 12.2292 9 1 0 1 0 1 0 2 0 1 0 0 0 0 1 0 1 2 0 1 2 0
69  0.3827 0.4910 370.1271 49 0 0.7755 4.0282 3.2567 0.5154 36.7895 0.6139 65.1818 5.1818 2 4 51.9280 37.9879 36.3156 31.6397 3 0 0 0 0 0 1 0 0 1 1 2 1 0 2 0 0 0 1 0 2 0
70  0.4010 0.6804 520.0854 83 0 0.3133 3.7749 5.1834 0.4655 20.7692 0.2294 32.2174 4.1304 3 12 90.5721 52.0939 36.3156 15.8198 11 3 2 1 1 1 0 0 2 1 1 2 1 0 1 0 2 1 1 2 1 0
71  0.3655 0.0143 343.5946 51 0 0.1961 3.8005 4.1681 0.4165 8.0000 0.2524 19.7143 4.1905 6 14 35.0011 53.2539 2.0106 5.3014 15 0 4 1 1 3 1 0 0 3 3 1 0 0 0 0 3 1 0 0 0 0
72  0.3381 0.0133 358.4897 38 0 0.1316 3.7926 4.3718 0.4760 2.8000 0.3082 17.6250 2.9375 1 6 55.5509 43.5001 32.4929 5.2451 14 1 0 2 0 0 0 1 5 1 1 1 1 0 0 0 1 0 0 0 2 0
73  0.1595 0.0001 316.4998 29 0 0.2069 4.0074 2.6357 0.4104 5.0000 0.3665 3.0000 4.7778 4 8 42.2670 56.3355 21.0248 86.0832 3 1 2 0 1 0 0 0 0 2 0 0 1 0 0 0 0 1 0 1 0 0
74  0.1913 0.9683 837.4807 125 0 0.7680 3.9838 6.2420 0.5126 70.8958 0.2940 59.1111 4.5926 1 7 199.0802 33.5693 76.8509 24.4866 5 4 1 0 1 0 2 0 1 1 1 4 0 2 6 0 0 0 0 2 2 0
